# 100000 most frequently used 1-grams in American English books, 2005--2009. Data condensed from Google Ngrams Version 2, Copyright 2012, at <http://storage.googleapis.com/books/ngrams/books/datasetsv2.html>.
However	13205429
across	13155746
age	13106111
past	13050911
development	13038036
hard	13022628
brought	13009145
whom	12972719
voice	12960294
result	12926542
knowledge	12924758
soon	12887694
land	12789452
THE	12774960
15	12739687
class	12736532
reason	12735723
behind	12701867
problem	12678879
short	12573879
service	12565915
Some	12560097
mean	12558658
thus	12540284
quite	12479192
air	12416841
area	12416220
action	12415137
looking	12361814
subject	12310602
story	12293082
position	12194863
English	12188232
idea	12187723
close	12182326
company	12072148
especially	12061181
particular	12040527
effect	12034416
low	12021807
v.	12009158
individual	11987200
feet	11986095
period	11963970
per	11940250
doing	11910296
son	11788773
necessary	11771486
near	11705275
From	11699749
turn	11687251
members	11623879
morning	11610937
11	11587351
cause	11554258
understand	11538632
therefore	11516534
blood	11481290
century	11475546
local	11428493
clear	11426044
front	11423750
live	11384356
language	11372241
Why	11353852
single	11348698
living	11338671
wife	11295815
C	11268203
further	11248599
State	11225871
health	11215733
research	11188434
type	11168209
S.	11124371
table	11120331
Not	11113021
friends	11093843
cases	11090771
leave	11030916
alone	10975078
return	10963814
nor	10948186
friend	10942096
Jesus	10936793
rest	10922033
30	10908779
America	10875056
term	10839379
provide	10838760
working	10803601
14	10800498
ground	10727112
usually	10713008
percent	10710548
C.	10691333
Of	10670328
13	10661440
available	10623315
terms	10594349
future	10590269
perhaps	10541900
probably	10526664
various	10526457
food	10526376
play	10517306
field	10515523
makes	10461504
lost	10459442
else	10453528
personal	10414321
late	10410601
myself	10406613
seems	10365841
strong	10358298
community	10350839
B	10346486
results	10341205
Is	10341111
Christ	10332779
model	10309732
R.	10302739
force	10293111
needed	10282879
required	10272149
rate	10270575
church	10269438
2000	10260617
written	10259388
include	10253067
16	10228109
Her	10204333
Yes	10194536
hours	10174016
hear	10167459
party	10166781
evidence	10156754
everything	10152163
truth	10151460
Yes_X	10146420
London	10144262
longer	10133111
account	10129279
taking	10125882
big	10125696
problems	10114888
specific	10087680
top	10047260
court	10034585
six	10007251
attention	9969646
town	9965326
ask	9963627
4_X	9957111
sometimes	9944062
similar	9938245
poor	9934819
answer	9919153
sent	9913903
natural	9905464
fire	9898881
ways	9894479
run	9882772
received	9838149
2003	9813954
function	9806483
Chapter	9787799
2002	9785863
likely	9778195
outside	9765757
stood	9756300
shown	9731954
property	9715676
25	9704211
D.	9695509
coming	9679975
Well	9618962
continued	9608948
groups	9605155
considered	9593894
practice	9583574
May	9570754
office	9567891
18	9548280
plan	9542914
Although	9518140
act	9516731
education	9505112
space	9497817
talk	9494864
although	9489080
French	9486878
role	9463841
questions	9458139
i	9451658
chapter	9451502
third	9449255
changes	9435919
Let	9430845
started	9395726
treatment	9380923
patients	9379712
bring	9379329
months	9378077
simply	9359714
higher	9344908
St.	9324063
hope	9323524
major	9322592
herself	9274057
special	9235514
Mrs.	9224083
2001	9200144
greater	9191049
gone	9182273
program	9170652
While	9147169
letter	9145215
bad	9142150
needs	9132759
dead	9126480
character	9117904
lot	9106899
risk	9096762
Thus	9062910
approach	9026617
followed	9022545
due	9019854
analysis	9016626
passed	9015463
kept	9014564
II	9002862
someone	8997447
2004	8987966
conditions	8977012
difficult	8976419
move	8976235
17	8965778
William	8964898
society	8924393
England	8916211
market	8915776
hundred	8891144
amount	8878771
James	8875012
E.	8820302
section	8815518
art	8811846
related	8804523
cost	8801091
purpose	8798430
minutes	8790552
relationship	8764202
twenty	8763907
hold	8761978
Oh_X	8761889
Oh	8761889
pay	8754934
